Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,49,0,170,181.95119795913047,149.0072000001419,271.2240999999267,930.0,0.8411272327779961,0.0,170,190,200,210,240,250,270,270,270,270,270
GET,/carts/1,33,0,160,250.98568787876556,144.7794000000613,2979.9784000001637,1007.0,0.5664734424831401,0.0,160,160,170,170,220,280,3000,3000,3000,3000,3000
POST,/carts/add,50,0,160,350.69799000003513,144.30210000000443,4016.835699999774,324.4,0.8582930946714245,0.0,170,170,190,210,250,1100,4000,4000,4000,4000,4000
GET,/products,64,0,39,48.04875937501407,28.678600000148435,332.08420000028127,44090.0,1.0986151611794233,0.0,39,42,44,45,52,97,140,330,330,330,330
GET,/products/[id],45,0,160,371.76547555555874,38.68849999980739,3903.363899999931,1495.0666666666666,0.772463785204282,0.0,160,170,170,190,230,2700,3900,3900,3900,3900,3900
GET,/products/search?q=phone,11,0,160,388.16014545459024,150.94320000025618,2523.113100000046,37282.0,0.1888244808277134,0.0,160,180,230,230,230,2500,2500,2500,2500,2500,2500
,Aggregated,252,0,160,233.3625575396819,28.678600000148435,4016.835699999774,13468.892857142857,4.32579719714398,0.0,160,170,170,180,220,260,2700,3900,4000,4000,4000
